Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TS_Home,,,2018-02-08 11:31:54,2018-02-08 11:35:02,3m - 7.471s,PASSED
,,,,,,
Test Cases/Home/HomeMain01,,Testcase : https://goo.gl/kvqiYt,2018-02-08 11:31:55,2018-02-08 11:32:45,50.641s,PASSED
startApplication,,,2018-02-08 11:31:55,2018-02-08 11:32:16,21.020s,PASSED
waitForElementPresent,,,2018-02-08 11:32:16,2018-02-08 11:32:19,2.883s,PASSED
tap,,,2018-02-08 11:32:19,2018-02-08 11:32:20,0.944s,PASSED
waitForElementPresent,,,2018-02-08 11:32:20,2018-02-08 11:32:21,1.053s,PASSED
tap,,,2018-02-08 11:32:21,2018-02-08 11:32:22,0.984s,PASSED
waitForElementPresent,,,2018-02-08 11:32:22,2018-02-08 11:32:23,1.556s,PASSED
tap,,,2018-02-08 11:32:23,2018-02-08 11:32:24,0.759s,PASSED
waitForElementPresent,,,2018-02-08 11:32:24,2018-02-08 11:32:25,1.122s,PASSED
tap,,,2018-02-08 11:32:25,2018-02-08 11:32:26,0.396s,PASSED
waitForElementPresent,,,2018-02-08 11:32:26,2018-02-08 11:32:27,1.246s,PASSED
tap,,,2018-02-08 11:32:27,2018-02-08 11:32:27,0.303s,PASSED
waitForElementPresent,,,2018-02-08 11:32:27,2018-02-08 11:32:28,1.139s,PASSED
tap,,,2018-02-08 11:32:28,2018-02-08 11:32:29,0.381s,PASSED
waitForElementPresent,,,2018-02-08 11:32:29,2018-02-08 11:32:30,1.516s,PASSED
tap,,,2018-02-08 11:32:30,2018-02-08 11:32:31,0.783s,PASSED
waitForElementPresent,,,2018-02-08 11:32:31,2018-02-08 11:32:32,1.220s,PASSED
tap,,,2018-02-08 11:32:32,2018-02-08 11:32:33,0.810s,PASSED
waitForElementPresent,,,2018-02-08 11:32:33,2018-02-08 11:32:34,1.335s,PASSED
tap,,,2018-02-08 11:32:34,2018-02-08 11:32:35,0.304s,PASSED
waitForElementPresent,,,2018-02-08 11:32:35,2018-02-08 11:32:36,1.123s,PASSED
tap,,,2018-02-08 11:32:36,2018-02-08 11:32:36,0.354s,PASSED
waitForElementPresent,,,2018-02-08 11:32:36,2018-02-08 11:32:38,2.267s,PASSED
tap,,,2018-02-08 11:32:38,2018-02-08 11:32:39,0.275s,PASSED
waitForElementPresent,,,2018-02-08 11:32:39,2018-02-08 11:32:40,1.665s,PASSED
