Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
delay,,,2018-02-08 11:32:40,2018-02-08 11:32:42,2.031s,PASSED
closeApplication,,,2018-02-08 11:32:42,2018-02-08 11:32:45,2.748s,PASSED
,,,,,,
Test Cases/Home/HomeMain02,,Testcase : https://goo.gl/kvqiYt,2018-02-08 11:32:45,2018-02-08 11:33:55,1m - 10.215s,PASSED
startApplication,,,2018-02-08 11:32:45,2018-02-08 11:33:05,20.018s,PASSED
waitForElementPresent,,,2018-02-08 11:33:05,2018-02-08 11:33:09,3.123s,PASSED
tap,,,2018-02-08 11:33:09,2018-02-08 11:33:09,0.899s,PASSED
waitForElementPresent,,,2018-02-08 11:33:09,2018-02-08 11:33:10,1.012s,PASSED
tap,,,2018-02-08 11:33:10,2018-02-08 11:33:11,0.933s,PASSED
waitForElementPresent,,,2018-02-08 11:33:11,2018-02-08 11:33:13,1.228s,PASSED
setText,,,2018-02-08 11:33:13,2018-02-08 11:33:22,8.887s,PASSED
waitForElementPresent,,,2018-02-08 11:33:22,2018-02-08 11:33:22,0.593s,PASSED
setText,,,2018-02-08 11:33:22,2018-02-08 11:33:29,7.135s,PASSED
waitForElementPresent,,,2018-02-08 11:33:29,2018-02-08 11:33:30,0.573s,PASSED
tap,,,2018-02-08 11:33:30,2018-02-08 11:33:30,0.518s,PASSED
waitForElementPresent,,,2018-02-08 11:33:30,2018-02-08 11:33:31,1.044s,PASSED
tap,,,2018-02-08 11:33:31,2018-02-08 11:33:33,2.077s,PASSED
waitForElementPresent,,,2018-02-08 11:33:33,2018-02-08 11:33:35,1.035s,PASSED
tap,,,2018-02-08 11:33:35,2018-02-08 11:33:36,1.065s,PASSED
waitForElementPresent,,,2018-02-08 11:33:36,2018-02-08 11:33:37,1.456s,PASSED
tap,,,2018-02-08 11:33:37,2018-02-08 11:33:38,0.905s,PASSED
scrollToText,,,2018-02-08 11:33:38,2018-02-08 11:33:44,6.402s,PASSED
waitForElementPresent,,,2018-02-08 11:33:44,2018-02-08 11:33:45,0.471s,PASSED
tap,,,2018-02-08 11:33:45,2018-02-08 11:33:45,0.526s,PASSED
waitForElementPresent,,,2018-02-08 11:33:45,2018-02-08 11:33:46,0.703s,PASSED
tap,,,2018-02-08 11:33:46,2018-02-08 11:33:47,0.592s,PASSED
scrollToText,,,2018-02-08 11:33:47,2018-02-08 11:33:49,2.321s,PASSED
waitForElementPresent,,,2018-02-08 11:33:49,2018-02-08 11:33:50,0.674s,PASSED
tap,,,2018-02-08 11:33:50,2018-02-08 11:33:50,0.296s,PASSED
waitForElementPresent,,,2018-02-08 11:33:50,2018-02-08 11:33:51,0.981s,PASSED
delay,,,2018-02-08 11:33:51,2018-02-08 11:33:53,2.002s,PASSED
closeApplication,,,2018-02-08 11:33:53,2018-02-08 11:33:55,2.501s,PASSED
,,,,,,
Test Cases/Home/HomeMain03,,Testcase : https://goo.gl/kvqiYt,2018-02-08 11:33:55,2018-02-08 11:35:02,1m - 6.088s,PASSED
startApplication,,,2018-02-08 11:33:56,2018-02-08 11:34:24,28.101s,PASSED
waitForElementPresent,,,2018-02-08 11:34:24,2018-02-08 11:34:26,2.399s,PASSED
tap,,,2018-02-08 11:34:26,2018-02-08 11:34:27,0.811s,PASSED
waitForElementPresent,,,2018-02-08 11:34:27,2018-02-08 11:34:28,1.118s,PASSED
tap,,,2018-02-08 11:34:28,2018-02-08 11:34:29,1.063s,PASSED
waitForElementPresent,,,2018-02-08 11:34:29,2018-02-08 11:34:31,1.476s,PASSED
tap,,,2018-02-08 11:34:31,2018-02-08 11:34:31,0.269s,PASSED
waitForElementPresent,,,2018-02-08 11:34:31,2018-02-08 11:34:32,1.433s,PASSED
tap,,,2018-02-08 11:34:32,2018-02-08 11:34:33,0.308s,PASSED
waitForElementPresent,,,2018-02-08 11:34:33,2018-02-08 11:34:34,1.346s,PASSED
setText,,,2018-02-08 11:34:34,2018-02-08 11:34:43,8.874s,PASSED
waitForElementPresent,,,2018-02-08 11:34:43,2018-02-08 11:34:43,0.598s,PASSED
setText,,,2018-02-08 11:34:43,2018-02-08 11:34:51,7.491s,PASSED
waitForElementPresent,,,2018-02-08 11:34:51,2018-02-08 11:34:51,0.583s,PASSED
tap,,,2018-02-08 11:34:51,2018-02-08 11:34:52,0.526s,PASSED
scrollToText,,,2018-02-08 11:34:52,2018-02-08 11:34:55,2.543s,PASSED
waitForElementPresent,,,2018-02-08 11:34:55,2018-02-08 11:34:55,0.798s,PASSED
delay,,,2018-02-08 11:34:55,2018-02-08 11:34:57,2.002s,PASSED
closeApplication,,,2018-02-08 11:34:57,2018-02-08 11:35:02,4.161s,PASSED
